experiment	status	pattern	target	before	after	improvement	timestamp	commit
baseline-rfdetr	baseline	-	rfdetr-base.infer()	3.859ms±0.079ms	-	-	2026-04-21T00:00:00	-
rfdetr-exp001	discard	gpu-output-binding	run_session_via_iobinding	3.859ms	3.892ms	-0.9%	2026-04-21T00:10:00	-
rfdetr-exp002	discard	tensor-caching	preproc_image normalization	3.859ms	3.911ms	-1.3%	2026-04-21T00:20:00	-
rfdetr-exp003	keep	pinned-memory	preproc_image H2D transfer	3.859ms	3.846ms	+0.3%	2026-04-21T00:30:00	a09fdff65
baseline-yolov8n	baseline	-	yolov8n-640.infer()	2.528ms±0.107ms	-	-	2026-04-21T01:00:00	-
yolov8n-exp001	keep	pinned-memory	TRT preprocessing H2D transfers	2.528ms	2.347ms	+7.2%	2026-04-21T01:30:00	ef629a99e
deep-exp001	keep	pinned-buffer-cache	_numpy_to_device_via_pinned_buffer	2.386ms	2.31ms	+3.2% (single)	2026-04-21T20:05:00	6c45a8265
deep-exp002	keep	strided-scalar	rescale_image_detections	2.31ms	2.29ms	+0.9%	2026-04-21T20:10:00	66724c1da
deep-exp003	keep	strided-scalar	rescale_key_points_detections	-	-	(keypoint-only)	2026-04-21T20:15:00	e02b83526
deep-exp004	keep	strided-scalar	align_instance_segmentation_results	2.42ms	2.40ms	+0.8% (seg)	2026-04-21T20:20:00	0fad67e05
deep-exp005	discard	remove-sync	torch.any mask sync in NMS	2.29ms	2.47ms	-7.9% REGRESSION	2026-04-21T20:30:00	-
deep-exp006	keep	single-nonzero	NMS filtered tensor indexing	2.91ms	2.83ms	+2.7% (real img)	2026-04-21T20:35:00	97b52ad26
deep-exp007	keep	packed-gather	NMS keep gather	2.83ms	2.80ms	+1.1% (real img)	2026-04-21T20:40:00	6f42f447d
deep-exp008	keep	strided-scalar+nonzero	RF-DETR post_process	3.88ms	3.74ms	+3.6% (rfdetr)	2026-04-21T20:45:00	6e0b48119
deep-exp009	discard	fused-affine	(x/s-m)/s -> t*M-S	-	-	1-ULP FP regression broke 26 tests	2026-04-21T20:50:00	-
deep-exp009b	keep	cached-normalize	mean/std broadcast tensor cache	3.74ms	3.65ms	+2.4% (rfdetr)	2026-04-21T20:52:00	bd4599538
deep-exp010	keep	arange-cache	crop_masks_to_boxes	-	-	(seg-only)	2026-04-21T20:55:00	3c710460b
deep-exp011	discard	color-swap-reorder	swap on smaller tensor	-	-	neutral; reverted for simplicity	2026-04-21T21:05:00	-
final-yolov8n	measurement	-	yolov8n-640.infer() single	2.386ms±0.119ms (from ef629a99e)	2.278ms±0.044ms	+4.5% over pinned baseline	2026-04-21T21:30:00	3c710460b
final-yolov8n-seg	measurement	-	yolov8n-seg-640.infer() single	2.418ms±0.098ms	2.325ms median	+3.9%	2026-04-21T21:30:00	3c710460b
final-rfdetr-base	measurement	-	rfdetr-base.infer() single	3.877ms±0.183ms	3.554ms±0.047ms	+8.3% over pinned baseline	2026-04-21T21:30:00	3c710460b
final-yolov8n-b8	measurement	-	yolov8n-640.infer() batch=8	14.251ms	13.084ms	+8.2% batch	2026-04-21T21:30:00	3c710460b
final-yolov8n-seg-b8	measurement	-	yolov8n-seg-640.infer() batch=8	36.721ms (median 27.9)	33.209ms (median 26.5)	+5.0% batch (median)	2026-04-21T21:30:00	3c710460b
final-rfdetr-base-b8	measurement	-	rfdetr-base.infer() batch=8	31.309ms	29.206ms	+6.7% batch	2026-04-21T21:30:00	3c710460b
